Iteration Per Action,Score,Chosen element number,Percentile
1,1260,0,0
1,1172,0,0
1,2120,0,0
1,1408,0,0
1,1380,0,0
1,2808,0,0
1,1212,0,0
1,1264,0,0
1,1088,0,0
1,2600,0,0
1,5752,0,0
1,1140,0,0
1,2872,0,0
1,3616,0,0
1,1376,0,0
1,1256,0,0
1,3076,0,0
1,6076,0,0
1,620,0,0
1,4772,0,0
1,1020,0,0
1,2556,0,0
1,1380,0,0
1,6184,0,0
1,5020,0,0
1,5944,0,0
1,2884,0,0
1,5860,0,0
1,2928,0,0
1,1828,0,0
1,2676,0,0
1,2876,0,0
1,1384,0,0
1,1612,0,0
1,3080,0,0
1,1180,0,0
1,2792,0,0
1,2828,0,0
1,1164,0,0
1,4248,0,0
1,2984,0,0
1,3476,0,0
1,4244,0,0
1,4500,0,0
1,2644,0,0
1,5060,0,0
1,680,0,0
1,6088,0,0
1,2228,0,0
1,3028,0,0
1,4560,0,0
1,1212,0,0
1,288,0,0
1,4936,0,0
1,4412,0,0
1,2020,0,0
1,1124,0,0
1,516,0,0
1,4840,0,0
1,1972,0,0
1,2084,0,0
1,1508,0,0
1,5016,0,0
1,2468,0,0
1,2364,0,0
1,2872,0,0
1,1168,0,0
1,5052,0,0
1,2780,0,0
1,4336,0,0
1,2924,0,0
1,2436,0,0
1,1376,0,0
1,2608,0,0
1,2884,0,0
1,1176,0,0
1,2192,0,0
1,2864,0,0
1,4352,0,0
1,3352,0,0
1,1200,0,0
1,2200,0,0
1,2816,0,0
1,1544,0,0
1,1188,0,0
1,2552,0,0
1,1204,0,0
1,904,0,0
1,3824,0,0
1,2732,0,0
1,340,0,0
1,260,0,0
1,2520,0,0
1,1476,0,0
1,652,0,0
1,2104,0,0
1,356,0,0
1,572,0,0
1,2724,0,0
1,3408,0,0
1,600,0,0
1,3184,0,0
2,1188,0,0
2,2860,0,0
2,4460,0,0
2,2236,0,0
2,924,0,0
2,2764,0,0
2,1888,0,0
2,2560,0,0
2,2624,0,0
2,6552,0,0
2,5300,0,0
2,1136,0,0
2,4608,0,0
2,1920,0,0
2,4304,0,0
2,1220,0,0
2,6388,0,0
2,5032,0,0
2,4704,0,0
2,2672,0,0
2,3504,0,0
2,2708,0,0
2,4732,0,0
2,3456,0,0
2,1852,0,0
2,1972,0,0
2,752,0,0
2,2672,0,0
2,2968,0,0
2,2784,0,0
2,2656,0,0
2,5048,0,0
2,5012,0,0
2,2932,0,0
2,9120,0,0
2,6640,0,0
2,3736,0,0
2,4332,0,0
2,9564,0,0
2,2816,0,0
2,3164,0,0
2,2260,0,0
2,2696,0,0
2,2140,0,0
2,2660,0,0
2,1912,0,0
2,2188,0,0
2,1324,0,0
2,944,0,0
2,2096,0,0
2,6820,0,0
2,576,0,0
2,828,0,0
2,2824,0,0
2,1156,0,0
2,3252,0,0
2,1140,0,0
2,10656,0,0
2,3096,0,0
2,1288,0,0
2,10500,0,0
2,2784,0,0
2,2732,0,0
2,2680,0,0
2,2616,0,0
2,4556,0,0
2,1080,0,0
2,3924,0,0
2,4044,0,0
2,5832,0,0
2,3008,0,0
2,1884,0,0
2,1252,0,0
2,896,0,0
2,5000,0,0
2,4516,0,0
2,1468,0,0
2,1280,0,0
2,6248,0,0
2,5808,0,0
2,8416,0,0
2,4360,0,0
2,3140,0,0
2,2860,0,0
2,9664,0,0
2,4488,0,0
2,5300,0,0
2,2408,0,0
2,244,0,0
2,3936,0,0
2,5064,0,0
2,4768,0,0
2,4348,0,0
2,1708,0,0
2,1424,0,0
2,1212,0,0
2,2096,0,0
2,992,0,0
2,568,0,0
2,5000,0,0
2,948,0,0
2,884,0,0
2,4216,0,0
4,580,0,0
4,2648,0,0
4,2688,0,0
4,4740,0,0
4,932,0,0
4,4564,0,0
4,2748,0,0
4,1080,0,0
4,3092,0,0
4,2844,0,0
4,5784,0,0
4,5904,0,0
4,4796,0,0
4,2916,0,0
4,2992,0,0
4,4308,0,0
4,6556,0,0
4,11316,0,0
4,1240,0,0
4,3068,0,0
4,9880,0,0
4,6268,0,0
4,6032,0,0
4,5304,0,0
4,6484,0,0
4,2732,0,0
4,1456,0,0
4,4204,0,0
4,6916,0,0
4,2856,0,0
4,4664,0,0
4,9584,0,0
4,1948,0,0
4,2840,0,0
4,6280,0,0
4,3036,0,0
4,1176,0,0
4,4972,0,0
4,4356,0,0
4,2120,0,0
4,4792,0,0
4,7100,0,0
4,4780,0,0
4,2520,0,0
4,6184,0,0
4,5088,0,0
4,2840,0,0
4,4724,0,0
4,1164,0,0
4,4988,0,0
4,2212,0,0
4,4756,0,0
4,5208,0,0
4,2036,0,0
4,792,0,0
4,2648,0,0
4,4308,0,0
4,5280,0,0
4,2544,0,0
4,1236,0,0
4,5020,0,0
4,504,0,0
4,876,0,0
4,11408,0,0
4,6492,0,0
4,5028,0,0
4,5848,0,0
4,504,0,0
4,2288,0,0
4,2740,0,0
4,2776,0,0
4,2016,0,0
4,2924,0,0
4,1176,0,0
4,6384,0,0
4,540,0,0
4,2928,0,0
4,4664,0,0
4,5004,0,0
4,2660,0,0
4,2648,0,0
4,5008,0,0
4,10812,0,0
4,5048,0,0
4,3120,0,0
4,2360,0,0
4,4220,0,0
4,2168,0,0
4,596,0,0
4,2696,0,0
4,5112,0,0
4,2984,0,0
4,6640,0,0
4,4296,0,0
4,6468,0,0
4,2960,0,0
4,4656,0,0
4,2544,0,0
4,6704,0,0
4,13420,0,0
4,4924,0,0
4,5984,0,0
4,6584,0,0
8,9100,0,0
8,2924,0,0
8,6744,0,0
8,4228,0,0
8,14384,0,0
8,2948,0,0
8,5916,0,0
8,1060,0,0
8,5800,0,0
8,6544,0,0
8,9652,0,0
8,4168,0,0
4,5060,1,10
4,2864,1,10
4,6556,1,10
8,6584,0,0
1,2812,1,10
1,2976,1,10
1,1460,1,10
1,2084,1,10
1,1948,1,10
1,5004,1,10
1,1900,1,10
1,2124,1,10
1,2608,1,10
1,1460,1,10
1,240,1,10
1,2628,1,10
1,1260,1,10
1,4972,1,10
1,2084,1,10
1,2868,1,10
1,2272,1,10
1,1064,1,10
1,4576,1,10
1,2908,1,10
1,2864,1,10
1,1560,1,10
1,2336,1,10
1,5936,1,10
1,2708,1,10
1,2836,1,10
1,1336,1,10
1,2876,1,10
1,1428,1,10
1,936,1,10
1,5132,1,10
1,2564,1,10
1,4328,1,10
1,3212,1,10
1,3180,1,10
1,2636,1,10
1,2652,1,10
1,744,1,10
1,4484,1,10
1,2656,1,10
1,1324,1,20
1,1324,1,20
1,4992,1,20
1,1736,1,20
1,2140,1,20
1,268,1,20
1,5804,1,20
1,3112,1,20
1,2556,1,20
1,836,1,20
1,1156,1,20
1,1368,1,20
1,2304,1,20
1,2360,1,20
1,1828,1,20
1,2116,1,20
1,2152,1,20
1,1408,1,20
1,2136,1,20
1,5940,1,20
1,1136,1,20
1,2532,1,20
1,604,1,20
1,2484,1,20
1,2780,1,20
1,2004,1,20
1,4832,1,20
1,1992,1,20
1,1964,1,20
1,2116,1,20
1,2252,1,20
1,1564,1,20
1,1372,1,20
1,6564,1,20
1,2392,1,20
1,1904,1,20
1,2424,1,20
1,532,1,20
1,5936,1,20
1,1916,1,20
1,2380,1,20
1,1220,1,20
1,4664,1,20
1,1612,1,20
1,1292,1,20
1,432,1,20
1,4988,1,20
1,2164,1,20
1,2812,1,20
1,1368,1,20
1,2396,1,20
1,2328,1,20
1,2256,1,20
1,2772,1,20
1,2164,1,20
1,1140,1,20
1,740,1,20
1,1888,1,20
1,2036,1,20
1,2852,1,20
1,2128,1,20
1,2212,1,20
1,1080,1,20
2,2264,1,20
2,2764,1,20
2,5928,1,20
2,4976,1,20
2,1224,1,20
2,648,1,20
2,1984,1,20
2,6828,1,20
2,4952,1,20
2,3128,1,20
2,5040,1,20
2,4888,1,20
2,2160,1,20
2,4964,1,20
2,6260,1,20
2,1192,1,20
2,2776,1,20
2,5020,1,20
2,1480,1,20
2,1244,1,20
2,940,1,20
2,2876,1,20
2,5188,1,20
2,2704,1,20
2,2824,1,20
2,2776,1,20
2,5844,1,20
2,5172,1,20
2,4824,1,20
2,3028,1,20
2,4760,1,20
2,2860,1,20
2,3292,1,20
2,464,1,20
2,5740,1,20
2,6492,1,20
2,2760,1,20
2,4952,1,20
2,4140,1,20
2,2620,1,20
2,4924,1,20
2,6292,1,20
2,5604,1,20
2,5008,1,20
2,6036,1,20
2,2888,1,20
2,4992,1,20
2,2540,1,20
2,1532,1,20
2,2640,1,20
2,4748,1,20
2,2876,1,20
2,6436,1,20
2,2244,1,20
2,2276,1,20
2,2792,1,20
2,3172,1,20
2,2356,1,20
2,6548,1,20
2,3064,1,20
2,2552,1,20
2,5308,1,20
2,2216,1,20
2,2924,1,20
1,2220,1,10
1,2812,1,10
1,2756,1,10
1,2904,1,10
1,2932,1,10
1,2880,1,10
1,596,1,10
1,2168,1,10
1,1300,1,10
1,5004,1,10
1,1268,1,10
1,4260,1,10
1,740,1,10
1,2520,1,10
1,4276,1,10
1,3344,1,10
1,1968,1,10
1,6380,1,10
1,3756,1,10
1,2392,1,10
1,3604,1,10
1,2844,1,10
1,804,1,10
1,1260,1,10
1,2500,1,10
1,2064,1,10
1,2716,1,10
1,2736,1,10
1,2168,1,10
1,4304,1,10
1,5812,1,10
1,2864,1,10
1,6224,1,10
1,1156,1,10
1,1224,1,10
1,4888,1,10
1,2060,1,10
1,1532,1,10
1,1276,1,30
1,1216,1,10
1,2040,1,10
1,4888,1,10
1,1080,1,40
1,1824,1,10
1,2916,1,10
1,1220,1,50
1,4916,1,10
1,2300,1,10
1,1084,1,10
1,3184,1,60
1,1080,1,10
1,936,1,10
1,396,1,70
1,5412,1,10
1,2416,1,10
1,2744,1,80
1,6040,1,10
1,4712,1,10
1,944,1,10
1,2928,1,90
2,2544,1,10
2,3180,1,10
2,3204,1,10
2,2756,1,10
2,5844,1,10
2,2852,1,10
2,6212,1,10
2,6904,1,10
2,8284,1,10
2,2596,1,10
2,3136,1,10
2,3008,1,10
2,4944,1,10
2,1924,1,10
2,2804,1,10
2,1880,1,10
2,1796,1,10
2,2712,1,10
2,4544,1,10
2,3212,1,10
2,2444,1,10
2,4700,1,10
2,6740,1,10
2,5212,1,10
2,1884,1,10
2,2240,1,10
2,244,1,10
2,5672,1,10
2,5024,1,10
2,1296,1,10
2,3252,1,10
2,6256,1,10
2,4120,1,10
2,4400,1,10
2,4344,1,10
2,4728,1,10
2,3116,1,10
2,6700,1,10
2,5720,1,30
2,6244,1,30
2,4996,1,30
2,2804,1,40
2,3100,1,40
2,5832,1,30
2,1868,1,50
2,2104,1,50
2,2800,1,50
2,6444,1,40
2,588,2,60
2,896,2,60
2,736,2,60
2,300,2,60
2,2452,2,60
2,2960,2,60
2,5280,2,60
2,436,2,60
2,4848,2,60
2,4280,2,60
2,348,2,60
2,528,2,60
2,500,2,60
2,2792,2,60
2,1528,2,60
2,4984,2,60
2,2648,2,60
2,5016,2,60
2,1184,2,60
2,3928,2,60
2,4892,2,60
2,1248,2,60
2,528,2,60
2,2144,2,60
2,1088,2,60
2,2000,2,60
2,3012,2,60
2,2576,2,60
2,1208,2,60
2,4280,2,60
2,1816,2,60
2,3084,2,60
2,5104,2,60
2,4460,2,60
2,2608,2,60
2,1888,2,60
2,4148,2,60
2,2504,2,60
2,2752,2,60
2,3000,2,60
2,2048,2,60
2,1448,2,60
2,1976,2,60
2,2360,2,60
2,2228,2,60
2,1044,2,60
2,2140,2,60
2,2240,2,60
2,2736,2,60
2,2768,2,60
2,4296,2,60
2,888,2,60
2,956,2,60
2,1180,2,60
2,2840,2,60
2,1032,2,60
2,4080,2,60
2,1124,2,60
2,1192,2,60
2,2488,2,60
2,4992,2,60
2,2808,2,60
2,1084,2,60
2,6516,2,60
2,1608,2,60
2,2184,2,60
2,5368,2,60
2,2284,2,60
2,1112,2,60
2,2900,2,60
2,1464,2,60
2,2064,2,60
2,2568,2,60
2,968,2,60
2,4532,2,60
2,1888,2,60
2,4388,2,60
2,1004,2,60
2,4328,2,60
2,6284,2,60
2,2900,2,60
2,4112,2,60
2,516,2,60
2,1268,2,60
2,2108,2,60
2,6660,2,60
2,2760,2,60
2,928,2,60
2,2716,2,60
2,2204,2,60
2,2740,2,60
2,1172,2,60
2,2484,2,60
2,2648,2,60
2,4912,2,60
2,2012,2,60
2,2184,2,60
2,1360,2,60
2,268,2,60
2,2424,2,60
2,1472,2,60
2,1188,2,70
2,5868,2,60
2,2964,2,70
2,1464,2,80
2,3924,2,70
2,2756,2,80
2,1280,2,80
2,1868,2,90
2,560,2,90
2,2760,2,90
2,4708,2,90
4,6912,1,10
1,576,1,100
1,816,1,100
2,2344,2,100
2,324,2,100
2,2564,2,100
4,4876,1,10
4,6496,1,10
4,6116,1,10
4,9560,1,10
4,1156,1,10
4,3060,1,10
4,3132,1,10
4,5988,1,10
4,4708,1,10
4,2852,1,10
4,3168,1,10
4,4972,1,10
4,2956,1,10
4,13284,1,10
4,5676,1,10
4,5008,1,10
4,5040,1,10
4,2652,1,10
4,5728,1,10
4,6648,1,10
4,6812,1,10
4,6116,1,10
4,9860,1,10
4,6460,1,10
4,5656,1,10
4,10884,1,10
4,5220,1,10
4,6796,1,10
4,3896,1,10
4,1548,1,10
4,5460,1,10
4,3116,1,10
4,6856,1,10
4,2796,1,10
4,5616,1,10
4,4376,1,10
4,2328,1,10
4,6036,1,10
4,5472,1,10
4,5036,1,10
4,5272,1,10
4,9696,1,10
4,1384,1,10
4,516,1,10
4,1372,1,10
4,5940,1,10
4,5996,1,10
4,2952,1,10
4,6156,1,10
4,6252,1,10
4,6712,1,10
4,3108,1,10
4,5732,1,10
4,6656,1,10
4,1208,1,10
4,2132,1,10
4,6236,1,10
4,4396,1,10
4,2884,1,10
4,2040,1,10
4,5212,1,10
4,3728,1,10
4,6020,1,10
4,3124,1,10
4,5244,1,10
4,5168,1,10
4,2996,1,10
4,2876,1,10
4,6468,1,10
4,7000,1,10
4,2612,1,10
4,11816,1,10
4,6400,1,10
4,6196,1,10
4,4988,1,10
4,3064,1,10
4,3116,1,10
4,6728,1,10
4,5936,1,10
4,4840,1,10
4,2212,1,10
4,2212,1,10
4,3308,1,10
4,11092,1,10
4,6628,1,10
4,1220,1,10
4,2860,1,10
4,5960,1,10
4,6676,1,10
4,2864,1,10
4,2944,1,10
4,5964,1,10
4,10784,1,10
4,4728,1,10
4,6660,1,10
4,4796,1,10
4,6868,1,10
4,2488,1,10
4,6772,1,10
4,5120,2,20
4,5572,2,20
4,4928,2,20
4,840,2,20
4,2144,2,20
4,2136,2,20
